KEY,ALIAS,DATA TYPE,DESCRIPTION,NOT AVAILABLE IN
Access_Control_Type,Access Control Type,STRING,"Type of access control (Full, Partial, By Permit)",
Appalachian_Hwy_Begin_Description,Appalachian Highway Begin Description,STRING,Textural designation of the beginning of the designated route sequence assigned by FHWA,
Appalachian_Hwy_Corridor,Appalachian Highway Corridor,STRING,"Derived from Route Prefix, Route Number and Route Suffix to describe the route sequence assigned by FHWA",
Appalachian_Hwy_End_Description,Appalachian Highway End Description,STRING,Textural designation of the ending of the designated route sequence assigned by FHWA,
Appalachian_Hwy_Roadway_Status,Appalachian Highway Roadway Status,STRING,"FHWA roadway status (Open to Traffic, Proposed)",
Appalachian_Hwy_Route_Sequence,Appalachian Highway Route Sequence,FLOAT,Federal program route sequence designation,
Appalachian_Hwy_Section_ID,Appalachian Highway Section ID,STRING,Numeric designation of the route section determined by FHWA,
Appalachian_Hwy_Section_Length_for_Cost_Estimating,Appalachian Highway Section Length for Cost Estimating,FLOAT,Length (in miles) of the route sequence as determined by FHWA,
Begin_Milepoint,Begin Milepoint,FLOAT,Begin milepoint of a LRS line,Get Route Info by Coordinates | Get Route Info by Route and Milepoint
Bridge_Feature_Intersect,Bridge Feature Intersect,ARRAY<STRING>,Feature name in which the bridge overpasses,
Bridge_Identifier,Bridge Identifier,ARRAY<STRING>,Bridge Identifier,
Cardinality,Cardinality,STRING,"Main direction of travel along a roadway (Cardinal, Non-Cardinal)",
City,City,STRING,Name of city from incorporated boundaries dataset,
Coal_Haul_Annual_Tons_Cardinal,Coal Haul Annual Tons Cardinal,FLOAT,Reported tonnage of coal hauled annually on roadway in cardinal direction,
Coal_Haul_Annual_Tons_NonCardinal,Coal Haul Annual Tons NonCardinal,FLOAT,Reported tonnage of coal hauled annually on roadway in non-cardinal direction,
County_Name,County Name,STRING,County Name,
County_Number,County Number,INTEGER,A numeric code representing one of the 120 counties in Kentucky,
Direction,Direction,STRING,"Direction of travel (Northbound, Southbound, Eastbound, Westbound or combination of Northbound & Southbound, Eastbound & Westbound)",
District_Name,District Name,STRING,City designation for each KYTC District,
District_Number,District Number,INTEGER,Numerical designation for each KYTC District,
End_Milepoint,End Milepoint,FLOAT,End milepoint of a LRS line,Get Route Info by Coordinates | Get Route Info by Route and Milepoint
Enhanced_National_Hwy_System,Enhanced National Highway System,STRING,Code denoting if route segment is part of the Enhanced National Highway System by MAP-21 program,
Extended_Weight_System,Extended Weight System,STRING,Description of route's extended weight designation,
Federal_System_Roadway_Status,Federal System Roadway Status,STRING,"Status of the roadway segment as related to the Federal Highway System (Closed, Open, Proposed)",
Federal_System_Route_Description,Federal System Route Description,STRING,Textural description of beginning and ending connectors for road,
Forest_Hwy_Road,Forest Highway Road,STRING,Federal program road name to which segment is assigned,
Forest_Hwy_Route_Description,Forest Highway Route Description,STRING,Description of designated Forest Highway Route assigned by FHWA,
Forest_Hwy_Route_Number,Forest Highway Route Number,INTEGER,Numeric designation of route determined by FHWA,
Forest_Hwy_Route_Sequence,Forest Highway Route Sequence,STRING,Numeric designation of route sequence assigned by FHWA,
Forest_Hwy_System,Forest Highway System,STRING,Two-digit abbreviation representing road classification assigned by FHWA,
Freight_Network_KY_Designation,Freight Network KY Designation,STRING,KYTC specific designation of National Freight Network roadway segment,
Functional_Class,Functional Class,STRING,Description of role roadway plays in overall road network,
Geometry,Geometry (WKT),STRING,The geometry of the point to which the source point aligns,
Geometry_X,Geometry (Longitude or X value),FLOAT,The geometries longitude value if using a geograhic coordinate system or X value if using a projected coordinate system,Get Route Info by Route and Milepoint | Get Route Info by Route And Two Milepoints | Get Route Info by Snapping Adjacent Line | Get Route Info by Snapping Polygon
Geometry_Y,Geometry (Latutude or Y value),FLOAT,The geometries latitude value if using a geograhic coordinate system or Y value if using a projected coordinate system,Get Route Info by Route and Milepoint | Get Route Info by Route And Two Milepoints | Get Route Info by Snapping Adjacent Line | Get Route Info by Snapping Polygon
Government_Level,Government Level,STRING,"The ownership or government level of control for the roadway (State, County, Local, Park, Private, Other)",
Grade_Absolute_Difference,Grade Absolute Difference,FLOAT,Absolute value of differences in grade,
Grade_Class,Grade Class,STRING,Classification of grade by percent range,
Grade_Direction,Grade Direction,STRING,"Direction of grade (up, down)",
Grade_Incoming,Grade Incoming,FLOAT,Grade measurement in direction of travel going into a grade,
Grade_Outgoing,Grade Outgoing,FLOAT,Grade measurement in direction of travel going out of a grade,
Grade_Percent,Grade Percent,FLOAT,Grade measurement as a percentage,
Horizontal_Curve_Class,Horizontal Curve Class,STRING,Class of horizontal curvature as range of degrees,
Horizontal_Curve_Degree,Horizontal Curve Degree,FLOAT,Horizontal curvature measurement (in degrees),
Horizontal_Curve_Direction,Horizontal Curve Direction,STRING,"Horizontal curvature direction (Left, Right)",
Horizontal_Curve_SuperElevation_Cardinal,Horizontal Curve SuperElevation Cardinal,FLOAT,Measurement of horizontal curve banking in cardinal direction,
