startTime,endTime,totalRecords,elapsedSeconds,outputFile
"2025-07-22T03:34:35.964Z","2025-07-22T03:35:07.739Z",9581,31.77,"./data/data_v4_final_roadclosures.json"
"2025-07-22T03:56:29.569Z","2025-07-22T03:56:52.667Z",9581,23.10,"./data/data_v4_final_roadclosures.json"
"2025-07-22T04:27:23.822Z","2025-07-22T04:27:51.892Z",9581,28.07,"./data/data_v4_final_roadclosures.json"
"2025-07-22T22:07:26.222Z","2025-07-22T22:08:01.613Z",9581,35.39,"./data/data_v4_final_roadclosures.json"
"2025-07-26T03:28:31.501Z","2025-07-26T03:28:58.232Z",9581,26.73,"./data/data_v4_final_roadclosures.json"
"2025-07-26T04:42:08.662Z","2025-07-26T04:42:46.915Z",9581,38.25,"./data/data_v4_final_roadclosures.json"
"2025-07-26T05:18:57.593Z","2025-07-26T05:19:08.238Z",9582,10.64,"./data/data_v4_final_roadclosures.json"
"2025-07-26T05:39:10.003Z","2025-07-26T05:39:21.410Z",9582,11.41,"./data/data_v4_final_roadclosures.json"
"2025-07-27T04:47:39.650Z","2025-07-27T04:47:50.152Z",9582,10.50,"./data/data_v4_final_roadclosures.json"
"2025-07-28T00:36:31.885Z","2025-07-28T00:37:06.338Z",9582,34.45,"./data/data_v4_final_roadclosures.json"
"2025-07-28T00:56:45.047Z","2025-07-28T00:57:24.888Z",9582,39.84,"./data/data_v4_final_roadclosures.json"
"2025-07-28T01:01:37.186Z","2025-07-28T01:02:07.128Z",9582,29.94,"./data/data_v4_final_roadclosures.json"
"2025-07-28T01:02:46.034Z","2025-07-28T01:03:11.933Z",9582,25.90,"./data/data_v4_final_roadclosures.json"
"2025-07-28T01:05:10.202Z","2025-07-28T01:05:39.763Z",9582,29.56,"./data/data_v4_final_roadclosures.json"
